ip,hostname,city,region,country,loc,org,postal,timezone,filenames,line_numbers
172.73.253.242,cpe-172-73-253-242.carolina.res.rr.com,Lumberton,North Carolina,US,"34.6697,-79.1084",AS11426 Charter Communications Inc,28360,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[3, 4, 5]"
172.73.224.81,cpe-172-73-224-81.carolina.res.rr.com,Lumberton,North Carolina,US,"34.6697,-79.1084",AS11426 Charter Communications Inc,28360,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[7, 8, 9]"
107.77.232.70,mobile-107-77-232-70.mobile.att.net,Atlanta,Georgia,US,"33.7490,-84.3880",AS20057 AT&T Mobility LLC,30302,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[10, 11, 12]"
68.235.225.254,254.225.235.68.dsl.brvdnc.dynamic.citcom.net,Brevard,North Carolina,US,"35.2334,-82.7343","AS14615 Comporium, Inc",28712,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[13, 14, 15, 16, 17, 18]"
107.77.237.54,mobile-107-77-237-54.mobile.att.net,Atlanta,Georgia,US,"33.7490,-84.3880",AS20057 AT&T Mobility LLC,30302,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[19, 20, 21]"
67.197.61.215,67-197-61-215.cm.brvdnc.dyn.comporium.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS14615 Comporium, Inc",30302,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[22, 23, 24]"
67.44.160.18,host-67-44-160-18.hnremote.net,Carrboro,North Carolina,US,"35.9101,-79.0753",AS6621 Hughes Network Systems,27510,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[26, 27, 28, 29]"
174.19.26.145,174-19-26-145.rcmt.centurylink.net,Greenville,North Carolina,US,"35.6127,-77.3663","AS209 CenturyLink Communications, LLC",27834,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[31, 32, 33]"
107.12.209.108,mta-107-12-209-108.triad.rr.com,Morehead City,North Carolina,US,"34.7229,-76.7260",AS11426 Charter Communications Inc,28557,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log', '/Users/mkbabb/Downloads/apache2/error.log']","[34, 35, 36]"
174.194.22.240,240.sub-174-194-22.myvzw.com,Charlotte,North Carolina,US,"35.2271,-80.8431",AS22394 Cellco Partnership DBA Verizon Wireless,28202,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[5, 6, 7]"
107.77.235.212,mobile-107-77-235-212.mobile.att.net,Atlanta,Georgia,US,"33.7490,-84.3880",AS20057 AT&T Mobility LLC,30302,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[8, 9, 10]"
67.143.128.47,,Cleveland,Georgia,US,"34.5970,-83.7632",AS6621 Hughes Network Systems,30528,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[11, 12, 13]"
71.217.134.103,71-217-134-103.rcmt.centurylink.net,Spring Lake,North Carolina,US,"35.1679,-78.9728","AS209 CenturyLink Communications, LLC",28390,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[14, 15, 16]"
172.74.22.201,cpe-172-74-22-201.nc.res.rr.com,Goldsboro,North Carolina,US,"35.3683,-78.0929",AS11426 Charter Communications Inc,27530,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[17, 18, 19]"
172.74.80.76,cpe-172-74-80-76.nc.res.rr.com,Garner,North Carolina,US,"35.7113,-78.6142",AS11426 Charter Communications Inc,27529,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[20, 21, 22]"
204.116.157.129,,White Oak,North Carolina,US,"34.7496,-78.7081","AS15153 StarVision, Inc.",28399,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[23, 24, 25]"
107.196.211.71,107-196-211-71.lightspeed.rlghnc.sbcglobal.net,Goldsboro,North Carolina,US,"35.3849,-77.9928","AS7018 AT&T Services, Inc.",27531,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
107.77.235.129,mobile-107-77-235-129.mobile.att.net,Atlanta,Georgia,US,"33.7490,-84.3880",AS20057 AT&T Mobility LLC,30302,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[39, 40, 41]"
173.93.7.59,cpe-173-93-7-59.ec.res.rr.com,Wilmington,North Carolina,US,"34.2237,-77.8862",AS11426 Charter Communications Inc,28403,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[42, 43, 44]"
75.110.144.50,75-110-144-50.nbrncmtk01.res.dyn.suddenlink.net,New Bern,North Carolina,US,"35.1004,-77.1029",AS19108 Suddenlink Communications,28562,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[45, 46, 47]"
72.168.160.130,host7216800130160.direcway.com,Saint Joseph,Missouri,US,"39.7686,-94.8466",AS6621 Hughes Network Systems,64502,America/Chicago,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[48, 49, 50]"
45.37.151.251,cpe-45-37-151-251.nc.res.rr.com,Goldsboro,North Carolina,US,"35.3683,-78.0929",AS11426 Charter Communications Inc,27530,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[51, 52, 53]"
68.235.228.21,21.228.235.68.dsl.brvdnc.dynamic.citcom.net,Brevard,North Carolina,US,"35.2334,-82.7343","AS14615 Comporium, Inc",28712,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[54, 55, 56]"
172.73.243.6,cpe-172-73-243-6.carolina.res.rr.com,Lumberton,North Carolina,US,"34.6697,-79.1084",AS11426 Charter Communications Inc,28360,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[57, 58, 59]"
67.44.160.50,,Caldwell,Idaho,US,"43.6629,-116.6874",AS6621 Hughes Network Systems,83605,America/Boise,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[61, 62, 63]"
172.242.45.222,172-242-45-222.cust.exede.net,Efland,North Carolina,US,"36.0812,-79.1692","AS7155 ViaSat,Inc.",27243,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[64, 65, 66]"
107.12.182.220,mta-107-12-182-220.nc.rr.com,Morehead City,North Carolina,US,"34.7229,-76.7260",AS11426 Charter Communications Inc,28557,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[67, 68, 69]"
174.226.137.151,151.sub-174-226-137.myvzw.com,Roanoke,Virginia,US,"37.2710,-79.9414",AS22394 Cellco Partnership DBA Verizon Wireless,24011,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[70, 71, 72]"
208.104.140.101,208-104-140-101.cm.brvdnc.dyn.comporium.net,Brevard,North Carolina,US,"35.2334,-82.7343","AS14615 Comporium, Inc",28712,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[73, 74, 75]"
24.211.176.199,cpe-24-211-176-199.nc.res.rr.com,Henderson,North Carolina,US,"36.3296,-78.3992",AS11426 Charter Communications Inc,27536,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[76, 77, 78]"
74.84.72.50,74-84-72-50.client.mchsi.com,Hertford,North Carolina,US,"36.1685,-76.3731",AS30036 Mediacom Communications Corp,27944,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[79, 80, 81]"
65.119.231.146,65-119-231-146.dia.static.qwest.net,Hertford,North Carolina,US,"36.1902,-76.4660","AS209 CenturyLink Communications, LLC",27930,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[82, 83, 84]"
173.18.91.61,173-18-91-61.client.mchsi.com,Edenton,North Carolina,US,"36.0579,-76.6077",AS30036 Mediacom Communications Corp,27932,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[85, 86, 87]"
69.133.136.91,cpe-69-133-136-91.ec.res.rr.com,Swansboro,North Carolina,US,"34.6877,-77.1191",AS11426 Charter Communications Inc,28584,America/New_York,"['/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1', '/Users/mkbabb/Downloads/apache2/error.log.1']","[88, 89, 90]"
