Prefix,Length,Type,Entity Name,Entity Type,Entity ID
152.26.175.192,29,LAN,Academy of Moore County,CHARTER,63A
152.26.233.160,29,LAN,ACE Academy,CHARTER,13C
152.26.170.160,29,LAN,Achievement Charter Academy,CHARTER,43D
152.27.20.0,23,LAN,Alamance Community College,Community College,CC1
152.26.170.128,29,LAN,Alamance Community School,CHARTER,01F
152.26.67.0,25,LAN,Alamance-Burlington School System,LEA,10
152.26.22.0,26,LAN,Alexander County Schools,LEA,20
152.26.66.32,29,LAN,Alexander County Schools,LEA,20
152.26.241.48,28,Video,Alleghany County Schools,LEA,30
152.26.83.0,28,LAN,Alleghany County Schools,LEA,30
152.26.173.208,29,LAN,Alpha Academy,CHARTER,26B
152.26.66.0,28,LAN,American Renaissance School,CHARTER,49B
152.26.174.32,29,LAN,Anderson Creek Academy,CHARTER,43C
152.26.7.96,27,LAN,Anson County Schools,LEA,40
152.26.170.192,29,LAN,Apprentice Academy High School of North Carolina,CHARTER,90F
152.26.235.208,28,LAN,Arapahoe Charter School,CHARTER,69A
152.26.235.144,29,LAN,Aristotle Preparatory Academy Charter,CHARTER,60N
152.26.233.0,28,LAN,Artspace Charter School,CHARTER,11B
152.26.172.0,29,LAN,Ascend Leadership Academy,CHARTER,53B
152.26.66.252,30,LAN,Ashe County Schools,LEA,50
152.26.66.64,27,LAN,Ashe County Schools,LEA,50
152.26.28.128,26,LAN,Asheboro City Schools,LEA,761
152.26.48.0,24,LAN,Asheville City Schools,LEA,111
152.26.169.64,29,LAN,Asheville Peak Academy,CHARTER,11F
198.86.53.64,26,LAN,Asheville-Buncombe TCC,Community College,CC2
152.26.242.128,28,Video,Asheville-Buncombe TCC,Community College,CC2
152.27.4.0,22,LAN,Asheville-Buncombe TCC,Community College,CC2
152.26.9.0,26,LAN,Avery County Schools,LEA,60
152.26.237.176,28,LAN,Bear Grass Charter School,CHARTER,58B
152.46.35.224,27,Customer Allocation,Beaufort County Community College,Community College,CC3
152.27.67.64,27,Video,Beaufort County Community College,Community College,CC3
198.85.196.16,29,LAN,Beaufort County Community College,Community College,CC3
198.85.196.32,28,LAN,Beaufort County Community College,Community College,CC3
198.85.118.0,24,LAN,Beaufort County Community College,Community College,CC3
198.85.119.0,24,LAN,Beaufort County Community College,Community College,CC3
152.26.46.0,24,LAN,Beaufort County Schools,LEA,70
152.26.20.128,26,LAN,Bertie County Schools,LEA,80
152.26.242.192,28,Video,Bertie County Schools,LEA,80
152.26.173.192,29,LAN,Bethany Community Middle School,CHARTER,79A
152.26.239.176,28,LAN,Bethel Hill Charter School,CHARTER,73A
152.27.28.0,24,LAN,Bladen Community College,Community College,CC4
152.27.67.0,27,Video,Bladen Community College,Community College,CC4
152.26.242.144,28,Video,Bladen County Schools,LEA,90
152.26.42.0,24,LAN,Bladen County Schools,LEA,90
152.26.241.176,28,Video,Blue Ridge Community College,Community College,CC5
152.27.27.0,28,Video,Blue Ridge Community College,Community College,CC5
152.27.15.0,24,LAN,Blue Ridge Community College,Community College,CC5
152.26.170.224,29,LAN,Bonnie Cone Classical Academy,CHARTER,61V
152.26.233.64,28,LAN,Bradford Preparatory School,CHARTER,60S
152.26.175.0,29,LAN,Brevard Academy,CHARTER,88A
152.27.30.0,24,LAN,Brunswick Community College,Community College,CC6
152.27.64.16,29,Video,Brunswick Community College,Community College,CC6
152.26.68.0,24,LAN,Brunswick County Schools,LEA,100
152.26.18.0,24,LAN,Buncombe County Schools,LEA,110
152.26.36.0,24,LAN,Burke County Public Schools,LEA,120
152.26.35.128,26,LAN,Cabarrus County Schools,LEA,130
152.26.82.0,26,LAN,Cabarrus County Schools,LEA,130
152.27.23.208,29,LAN,Caldwell Community College,Community College,CC7
152.26.241.128,28,Video,Caldwell Community College,Community College,CC7
152.27.19.0,24,LAN,Caldwell Community College,Community College,CC7
152.26.11.0,24,LAN,Caldwell County Schools,LEA,140
204.85.9.128,26,LAN,Camden County School System,LEA,150
152.26.240.160,28,Video,Camden County School System,LEA,150
152.26.232.0,28,LAN,Cape Fear Center for Inquiry,CHARTER,65A
198.85.236.0,22,LAN,Cape Fear Community College,Community College,CC8
198.85.240.0,21,LAN,Cape Fear Community College,Community College,CC8
152.46.32.96,27,Customer Allocation,Cape Fear Community College,Community College,CC8
152.26.232.64,29,LAN,Capitol Encore Academy,CHARTER,26C
152.26.236.48,29,LAN,Carolina Charter Academy,CHARTER,93Q
152.26.237.96,27,LAN,Carolina International School,CHARTER,13A
152.26.232.192,29,LAN,Carter Community Charter,CHARTER,32C
152.26.233.112,29,LAN,Carter G. Woodson School,CHARTER,34D
198.86.120.0,22,LAN,Carteret Community College,Community College,CC9
198.86.53.224,29,LAN,Carteret County Public School System,LEA,160
152.26.80.0,25,LAN,Carteret County Public School System,LEA,160
152.26.237.32,28,LAN,Casa Esperanza Montessori Charter,CHARTER,92R
152.26.87.0,26,LAN,Caswell County Schools,LEA,170
152.26.52.128,27,LAN,Caswell County Schools,LEA,170
152.26.30.0,24,LAN,Catawba County Schools,LEA,180
152.27.33.0,25,LAN,Catawba Valley Community College,Community College,CC10
152.27.67.192,27,Video,Catawba Valley Community College,Community College,CC10
152.27.23.64,26,LAN,Central Carolina Community College,Community College,CC11
152.27.68.16,29,Video,Central Carolina Community College,Community College,CC11
152.27.23.128,26,LAN,Central Carolina Community College,Community College,CC11
152.27.74.0,24,LAN,Central Carolina Community College,Community College,CC11
152.26.238.64,29,LAN,Central Park School for Children,CHARTER,32K
198.62.72.0,24,Non-NCREN,Central Piedmont Community College,Community College,CC12
152.46.25.128,27,Customer Allocation,Central Piedmont Community College,Community College,CC12
152.43.0.0,16,Non-NCREN,Central Piedmont Community College,Community College,CC12
152.26.174.192,29,LAN,Central Wake Charter High School,CHARTER,93L
152.26.75.0,29,LAN,Chapel Hill-Carrboro City Schools,LEA,681
198.86.92.0,23,LAN,Chapel Hill-Carrboro City Schools,LEA,681
198.86.68.0,24,LAN,Chapel Hill-Carrboro City Schools,LEA,681
152.46.31.16,28,Customer Allocation,Chapel Hill-Carrboro City Schools,LEA,681
152.26.175.64,29,LAN,Charlotte Lab Charter,CHARTER,60P
152.26.233.48,29,LAN,Charlotte Secondary School,CHARTER,60K
168.190.0.0,16,Non-NCREN,Charlotte-Mecklenburg Schools,LEA,600
152.26.239.208,28,LAN,Charter Day School,CHARTER,10A
152.26.235.240,29,LAN,Chatham Charter School,CHARTER,19A
152.46.35.0,25,Customer Allocation,Chatham County Schools,LEA,190
152.26.52.0,25,LAN,Chatham County Schools,LEA,190
152.26.0.16,29,Video,Chatham County Schools,LEA,190
152.26.57.0,24,LAN,Cherokee County School District,LEA,200
152.26.174.208,29,LAN,Children's Village Academy Charter,CHARTER,54A
152.26.175.144,29,LAN,CIS Academy,CHARTER,78A
152.26.61.0,24,LAN,Clay County Schools,LEA,220
152.26.241.16,28,Video,Clay County Schools,LEA,220
152.26.242.32,28,Video,Cleveland Community College,Community College,CC13
152.27.13.0,25,LAN,Cleveland Community College,Community College,CC13
152.27.13.0,24,LAN,Cleveland Community College,Community College,CC13
152.27.13.128,25,LAN,Cleveland Community College,Community College,CC13
152.26.13.0,25,LAN,Cleveland County Schools,LEA,230
